Reférence;"Libellé type";Famille;Nom;Description;Conditionnement;Prix;"Unité de prix";"Origine production";"Tarif ACN ALLIER"
5JGHY8HN;Légume;Légumes;AILLET;;1;1,96;botte;France;32.55
67B;Légume;Légumes;BLETTE;"Un incontournable dans votre panier de printemps, la blette se reconnaît à son goût délicat et légèrement terreux. Elle se consomme et s'apprécie le plus souvent cuite. Si ses côtes rappellent le goût de la betterave, ses feuilles se rapprochent davantage";1;0,24;botte;"Allier - France";3.49
P7NVB;Légume;Légumes;"NAVET VIOLET BOTTE";"Grand classique dans la cuisine française, le navet violet ou navet blanc à collet violet est un légume racine. Hormis ses couleurs très caractéristiques, on le reconnaît à sa forme ronde et aplatie. C’est le navet du renouveau qui se récolte au printemps";1;1,99;botte;"Allier - France";26.35
P7;Légume;Légumes;"NAVET VIOLET VRAC";"Grand classique dans la cuisine française, le navet violet ou navet blanc à collet violet est un légume racine. Hormis ses couleurs très caractéristiques, on le reconnaît à sa forme ronde et aplatie. C’est le navet du renouveau qui se récolte au printemps";1;2,94;K;"Allier - France";2.79
86GUWQPY;Légume;Légumes;"OIGNON BLANC  BOTTE";;1;25,9;U;"Allier - France";26.35
LLW2BLME;Légume;Légumes;"RADIS DE PAQUES ";;1;1,85;U;"Allier - France";26.35
*9;Légume;Légumes;"RADIS ROSE";"Pourquoi le rose dans le radis rose ? Parce que ce légume inspire le printemps. On le retrouve souvent à composer de sympathiques apéritifs. On le consomme d’habitude cru à la croque, mais se prête aussi à diverses inspirations culinaires. Il apporte à vo";1;1,85;U;"Allier - France";26.35
P156;Légume;Légumes;RUTABAGA;;1;2,4;K;"Allier - France";2.79
4FDCV;Légume;Salades;"FEUILLE DE CHÊNE VERTE";;1;1,25;U;"Allier - France";17.02
37M;Légume;Salades;MACHE;"La mâche, c’est cette salade que les Français affectionnent particulièrement. On la connaît sous différents noms comme la « doucette », la « galinette » ou encore la « blanchette ». Il s’agit d’un légume à feuilles appréciée pour sa saveur tendre et son l";1;11,5;K;"Allier - France";10.83
37ME;Légume;Salades;MESCLUN;"Le mesclun se définit en un mélange de feuilles et de pousses issues d’au moins cinq plantes potagères différentes. Ce n’est pas un légume à part entière. Sa composition varie suivant vos aspirations : laitue, chicorée, mâche, roquette, trévise, feuilles ";1;10;K;"Allier - France";10.83
P58TK9I7;Légume;Salades;ORTIE;;1;10;K;"Allier - France";10.83
37P;Légume;Salades;"POURPIER ";;1;10;K;"Allier - France";10.83
37R;Légume;Salades;ROQUETTE;"La roquette, Eruca sativa de son nom scientifique, fait partie de la catégorie des légumes à feuilles. Elle est issue d’une plante annuelle de la famille des Brassicacées (crucifères). D’apparence, ses feuilles ressemblent à celles d’un radis ou d’un nave";1;9,5;K;"Allier - France";10.83
7GTDRXEL;Légume;Aromates;"ANETH  ";;1;3,46;U;France;9.3
8SNI9A4X;Légume;Aromates;"CERFEUIL ";;1;2,2;U;"Allier - France";9.3
EGHMKXDK;Légume;Aromates;"CIBOULETTE BOTTE ";"La ciboulette… qui ne connaît pas cette fameuse plante aromatique si chère à nos plats ? Connue également sous le nom de civette et de cive, elle fait partie de la famille des oignons. On la catégorise aussi dans la famille des « fines herbes ». Elle a la";1;1,46;U;"Allier - France";10.08
P119X5;Légume;Aromates;"CORIANDRE ";"La coriandre, une herbe aromatique qui ne laisse personne indifférent. Elle se démarque par son goût marqué et unique. Elle ressemble peu ou proue au persil, mais se différencie par ses feuilles cilantro à forme aplatie et à l’arôme puissant et prononcé. ";1;1,46;U;"Allier - France";9.3
K8EMZVZJ;Légume;Aromates;"ESTRAGON BOTTE ";"Etonnamment, l'estragon ou herbe du dragon s’avère une des herbes relativement méconnues en dépit de ses fameuses vertus pour le corps. Or, il possède de surprenantes propriétés détoxifiantes, calmantes et digestives. Riche en flavonoïdes et en tanins, il";1;2,64;U;"Allier - France";9.69
G4WWZQND;Légume;Aromates;"ORTIE  ";;1;2,02;U;"Allier - France";9.3
ATMP6MA3;Légume;Aromates;"PERSIL PLAT ";;1;1,11;U;"Allier - France";9.3
P30RX5;Légume;Aromates;"ROMARIN ";"Le romarin nous vient tout droit de la Méditerranée. Il est apprécié pour son goût piquant et un tantinet amer. À consommer frais ou séché, on s’en sert le plus souvent comme herbe d’assaisonnement. Il est très odorant. Son arôme prononcé se marie bien av";1;1,41;U;"Allier - France";9.3
TBCPEAD1;Légume;Légumes;"AIL SEC Espagne ";"L'Ail sec fait partie de la famille des condiments. C’est un must have quand on veut assaisonner des plats en cuisine. Il se couple à bon nombre de mélanges d’herbes et d'épices afin de rehausser le goût des préparations salées. Il a la saveur bien pronon";1;1,87;K;France;10.85
8TVR9SQG;Légume;Légumes;"ARTICHAUT VERT France ";"L’artichaut vert France de Bretagne, c’est un des légumes star des beaux jours. Sa tête se cueille jeune au printemps et se déguste en été. Il se reconnaît à ses feuilles mates d’une teinte gris-vert. On s’en délecte le plus souvent cuit à la vapeur. La f";1;0,73428571428571;K;;6.98
AXECLVJM;Légume;Légumes;"ARTICHAUT VIOLET France ";"L'artichaut violet France, dit aussi, artichaut violet de Provence est un légume-fleur. Reconnaissable à sa forme légèrement conique et allongée, il se pare de feuilles tirant du vert au violet. Il renferme un cœur tendre d’une exquise saveur. Il se dégus";1;0,73428571428571;K;;6.98
MDSWNCDD;Légume;Légumes;"ASPERGE BLANCHE France ";;1;9,9;K;France;25.58
HII64VL4;Légume;Légumes;"ASPERGE VERTE France ";;1;10,8;K;France;25.58
ALHA6ZGT;Légume;Légumes;"AUBERGINE Espagne ";;1;0,832;K;;3.41
DKHKHW8Z;Légume;Légumes;"BETTERAVE ROUGE France ";"La betterave est un légume reconnaissable à sa couleur rouge. Elle se décline dans d’autres variétés et d’autres coloris. Cependant, le rouge est sa couleur de prédilection. Elle doit ce coloris à l’antioxydant bétacyanines qu’elle renferme. Ce légume, el";1;0,36;K;;2.57
JHSQ7CMP;Légume;Légumes;"CAROTTE BOTTE  France";"Les carottes, c’est le dada des cuisiniers des quatre coins du monde et surtout, des cuistots français. Pour preuve, ce légume est utilisé à foison dans presque tous les plats et toutes les disciplines culinaires. Passe-partout, il séduit pour sa saveur d";1;3;U;Italie;41.85
F3KR5NCZ;Légume;Légumes;"CAROTTE BOTTE DE COULEUR  France";;1;3;U;Italie;41.85
GQVD5J1L;Légume;Légumes;"CAROTTE LAVÉE France ";;1;0,135;K;France;2
95TJASA4;Légume;Légumes;"CAROTTE NON LAVÉE France ";;1;0,16;K;;2
HBV3WXGY;Légume;Légumes;"CELERI BRANCHE France ";"Le céleri, c’est ce légume à feuille connu pour son goût très fort. On s’en sert généralement pour relever la saveur d’un plat. On lui connaît plusieurs variétés. Par exemple, pour qui préfèrent les saveurs un peu moins prononcées, ils ont le céleri blanc";1;0,46285714285714;K;France;3.8
IZP713UL;Légume;Légumes;"CELERI RAVE France ";"Pourquoi on aime le céleri-rave ? C’est parce que c’est un légume généreusement enrichi en vitamine B9, B1 et en potassium. Il se reconnaît à sa délicate saveur de noisette, son goût légèrement piquant et sa chair blanche croquante. On le consomme cru ou ";1;0,3225;K;France;3.18
1SAKGIQ9;Légume;Légumes;"CHAMPIGNON BLANC France ";"Entre la boule-de-neige, l’Agaric des jachères ou le champignon de Paris, il n’est pas toujours facile de faire la différence. Chacun possède ses propres spécificités. Leur point commun reste leur chapeau blanc. Cependant, ce n’est pas qu’un champignon de";1;4,17;K;France;10.77
T4QQKHGV;Légume;Légumes;"CHAMPIGNON BRUN France ";"Bolet, amanite ou cèpe… les champignons bruns de France, ce n’est pas les variétés qui manquent. Vous pouvez en trouver de toute sorte et de toute forme. Chaque spécimen possède ses propres particularités : formes, goût et texture en bouche. Si vous souha";1;4,04;K;France;10.77
RMLCGTPK;Légume;Légumes;"CHAMPIGNON PLEUROTE DU PANICAUT France ";"Le champignon pleurote du panivcaut nous vient plus de la région sud du pays qu’autre part. Il pousse généralement dans de vastes espaces dégagées (landes, près, pelouses) au niveau des racines du Panicaut faux chardon. On le reconnaît à son chapeau brun,";1;6,48;K;France;16.97
16J79G1X;Légume;Légumes;"CHAMPIGNON SHITAKEE France ";"Après le champignon de Paris, le champignon shitakee demeure la star des étals, mais aussi des cuisines de Chine et partout ailleurs. Sur le marché, on peut s’en procurer sous forme séchée, mais également fraîche. C’est un excellent allié pour la santé vu";1;6;K;France;16.97
